путь,категории_ПДн,количество_находок,УЗ,формат_файла
/home/termit/hackathon_dataset/ПДнDataset/HACKATHON_CASE.md,Биометрия:3,3,1,md
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/VK_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/VKCT_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/.ipynb_checkpoints/pii_scan_results-checkpoint.csv,ФИО:2; Телефон:1; Email:1; Дата рождения:27,31,4,csv
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/agreement_reg.pdf,ФИО:2; Email:1; Адрес:2,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/version-300824.pdf,ФИО:1; Email:2; Адрес:3,6,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/politika_konfidencialnosti.pdf,ФИО:2; Адрес:1; ИНН:1,4,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/agreement_reg_extra.pdf,Email:1; Адрес:3,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/FZ 273 ob obrazovanii-rf.doc,ФИО:4; Дата рождения:166,170,3,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/capsula_instruction.pdf,Телефон:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Protokol_20.pdf,ФИО:12; Email:1; Адрес:1,14,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/rules.pdf,ФИО:47; Телефон:1; Email:4; Дата рождения:1; Адрес:1; ИНН:1,55,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Informatsionnoe-pismo-Olimpiada-SFEDU-English-25.doc,ФИО:2; Телефон:1; Email:2; Дата рождения:10; Адрес:5; ИНН:2,22,3,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/Sport24_Mediakit_2024.pdf,ФИО:11; Email:1,12,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/metod_r.pdf,ФИО:1; Телефон:1; Email:1; Дата рождения:32,35,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pamyatka.pdf,ФИО:1; Телефон:2; Email:1,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/38.04.08.pdf,Дата рождения:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/N413_17_05_2012.rtf,Дата рождения:164,164,3,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/version-090924.pdf,ФИО:2; Email:2; Дата рождения:2; Адрес:1; ИНН:9,16,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9F%D0%A4%D0%A5%D0%94%202022%20%20%20%D0%B8%D0%B7%D0%BC%2001%20%D1%81%20%D0%BE%D1%82%D1%82%D0%B8%D1%81%D0%BA%D0%BE%D0%BC.pdf,Телефон:1; Дата рождения:2; ИНН:1,4,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/upr_proc.pdf,Адрес:2,2,4,pdf
