путь,категории_ПДн,количество_находок,УЗ,формат_файла
/home/termit/dataset/Документы партнеров/VKCT_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,ФИО:156; Адрес:1,157,3,pdf
/home/termit/dataset/Документы партнеров/VK_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,ФИО:155; Адрес:1,156,3,pdf
/home/termit/dataset/Документы партнеров/capsula_instruction.pdf,ФИО:154; Телефон:1,155,3,pdf
/home/termit/dataset/Документы партнеров/Sport24_Mediakit_2024.pdf,ФИО:108; Email:1,109,3,pdf
/home/termit/dataset/Документы партнеров/agreement_reg.pdf,ФИО:252; Email:1; Адрес:2,255,3,pdf
/home/termit/dataset/Документы партнеров/version-300824.pdf,ФИО:181; Email:2; Адрес:3,186,3,pdf
/home/termit/dataset/Документы партнеров/%D0%92%D1%81%D0%B5%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D0%B8%D1%81%D1%8C_%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85.pdf,ФИО:249,249,3,pdf
/home/termit/dataset/Документы партнеров/politika_konfidencialnosti.pdf,ФИО:181; Адрес:1; ИНН:1,183,3,pdf
/home/termit/dataset/Документы партнеров/version-090924.pdf,ФИО:501; Email:2; Дата рождения:2; Адрес:1; ИНН:9,515,3,pdf
/home/termit/dataset/Документы партнеров/agreement_reg_extra.pdf,ФИО:413; Email:1; Адрес:3,417,3,pdf
/home/termit/dataset/Документы партнеров/ok_history_new.pdf,ФИО:200,200,3,pdf
/home/termit/dataset/Прочее/FZ 273 ob obrazovanii-rf.doc,ФИО:10765; Дата рождения:166; Здоровье:2; Расовая/национальная принадлежность:1,10934,1,doc
/home/termit/dataset/Документы партнеров/rules.pdf,ФИО:514; Телефон:1; Email:4; Дата рождения:1; Адрес:1; ИНН:1,522,3,pdf
/home/termit/dataset/Прочее/metod_r.pdf,ФИО:841; Телефон:1; Email:1; Дата рождения:32,875,3,pdf
/home/termit/dataset/Прочее/07.04.03.pdf,ФИО:75,75,3,pdf
/home/termit/dataset/Прочее/Protokol_20.pdf,ФИО:234; Email:1; Адрес:1,236,3,pdf
/home/termit/dataset/Прочее/38.04.08.pdf,ФИО:252; Дата рождения:3; Здоровье:2,257,1,pdf
/home/termit/dataset/Прочее/Informatsionnoe-pismo-Olimpiada-SFEDU-English-25.doc,ФИО:312; Телефон:1; Email:2; Дата рождения:10; Адрес:5; ИНН:2,332,3,doc
/home/termit/dataset/Прочее/AC_11082025.pdf,Дата рождения:392; Банковская карта:6,398,2,pdf
/home/termit/dataset/Прочее/pamyatka.pdf,ФИО:72; Телефон:2; Email:1,75,3,pdf
/home/termit/dataset/Прочее/8. Индексация Расп РФ.pdf,ФИО:75; Банковская карта:7; Здоровье:7; Расовая/национальная принадлежность:1,90,1,pdf
/home/termit/dataset/Прочее/vi_asp.docx,ФИО:6,6,4,docx
/home/termit/dataset/Прочее/%D0%9F%D0%A4%D0%A5%D0%94%202022%20%20%20%D0%B8%D0%B7%D0%BC%2001%20%D1%81%20%D0%BE%D1%82%D1%82%D0%B8%D1%81%D0%BA%D0%BE%D0%BC.pdf,ФИО:239; Телефон:1; Дата рождения:2; ИНН:1,243,3,pdf
/home/termit/dataset/Прочее/rasp722-p_20140430.pdf,ФИО:1099,1099,3,pdf
/home/termit/dataset/Прочее/N413_17_05_2012.rtf,Дата рождения:164,164,3,rtf
/home/termit/dataset/Прочее/chislen0603.pdf,ФИО:13; Телефон:2; Паспорт РФ:1,16,3,pdf
/home/termit/dataset/Прочее/upr_proc.pdf,ФИО:199; Адрес:2; Здоровье:8,209,1,pdf
/home/termit/dataset/Документы партнеров/capsula_neo_instruction.pdf,ФИО:208; Телефон:1; Адрес:1,210,3,pdf
/home/termit/dataset/Прочее/isk_int.pdf,ФИО:179; Дата рождения:3; Здоровье:8,190,1,pdf
/home/termit/dataset/Прочее/П73-ОД_37.05.02_Психология служ деят.pdf,ФИО:428; Здоровье:4,432,1,pdf
/home/termit/dataset/Прочее/Otchet_2014_rus.pdf,ФИО:258; Дата рождения:4; Расовая/национальная принадлежность:1,263,1,pdf
/home/termit/dataset/Прочее/Life%20safety.pdf,Email:1,1,4,pdf
/home/termit/dataset/Прочее/Сведения о доходах проректоров директоров филиалов и зам главного бухгалтера ФГАОУ ВО ЮФУ 2021.xls,ФИО:357,357,3,xls
/home/termit/dataset/Прочее/110401_М_3_17062021.pdf,ФИО:668; Дата рождения:25; Здоровье:1,694,1,pdf
/home/termit/dataset/Прочее/3 сентября EduNet.pdf,ФИО:201; Телефон:1; Email:2; Дата рождения:1; Адрес:1; Здоровье:1,207,1,pdf
/home/termit/dataset/Прочее/Otchet_nauka_2016.pdf,ФИО:1185; Дата рождения:40; Адрес:12; Расовая/национальная принадлежность:6,1243,1,pdf
